,排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
23,123,德章泰-默里,马刺,10.60,4.10-8.60,47.6%,0.20-1.00,16.7%,2.20-2.80,79.4%,12,22.80
24,124,杰克-莱曼,森林狼,10.50,4.40-9.40,46.2%,1.40-3.90,35.2%,0.40-0.70,60%,14,26.40
25,124,马克尔-富尔茨,魔术,10.50,4.20-8.50,48.6%,0.50-2.20,21.4%,1.80-2.20,82.1%,13,23.50
26,126,达里奥-沙里奇,太阳,10.40,3.90-9.10,42.4%,1.70-4.50,37.9%,1.00-1.30,76.5%,13,27.50
27,127,弗兰克-杰克逊,鹈鹕,10.20,3.60-8.30,43.5%,1.40-3.90,35.3%,1.50-2.00,76.9%,13,17.50
28,127,小蒂姆-哈达威,独行侠,10.20,3.50-10.10,34.4%,1.80-6.00,29.5%,1.50-2.00,73.1%,13,22.20
29,129,达米恩-李,勇士,10.00,3.20-8.30,38.5%,1.10-3.20,34.3%,2.50-3.00,84.8%,11,21.90
30,130,PJ-塔克,火箭,9.90,3.60-6.70,53.2%,2.10-4.40,47.5%,0.70-0.90,83.3%,14,34.90
31,130,德里克-怀特,马刺,9.90,3.40-7.40,46.2%,0.80-1.90,40.7%,2.30-2.90,80%,14,23.40
32,130,马利克-蒙克,黄蜂,9.90,3.90-8.30,47.4%,1.10-3.70,28.8%,1.00-1.40,73.7%,14,21.00
33,130,杰-克劳德,灰熊,9.90,3.30-8.20,40%,2.10-6.10,34.9%,1.10-1.60,69.6%,14,30.30
34,130,德安德烈-亨特,老鹰,9.90,3.60-9.70,37.3%,1.30-4.00,32.7%,1.40-2.10,66.7%,13,30.20
35,135,阿龙-霍勒迪,步行者,9.80,3.70-9.40,38.9%,1.70-3.90,42.6%,0.80-0.80,90%,12,23.30
36,135,DJ-奥古斯丁,魔术,9.80,3.60-8.70,41.6%,0.90-2.80,30.6%,1.80-2.00,88.5%,13,25.30
37,137,邓肯-罗宾逊,热火,9.70,3.50-7.60,46.2%,2.30-5.80,40.6%,0.30-0.30,100%,12,23.60
38,138,赛迪斯-杨,公牛,9.60,3.80-8.70,43.4%,1.10-3.60,31.4%,0.90-1.50,61.9%,14,22.60
39,138,埃弗里-布拉德利,湖人,9.60,4.10-8.40,48.8%,0.80-2.80,28.6%,0.60-0.80,75%,10,27.40
40,140,贾勒特-阿伦,篮网,9.50,3.70-5.80,64%,0.00-0.10,0%,2.10-3.70,56.3%,13,25.50
41,140,德维恩-培根,黄蜂,9.50,3.60-10.40,34.8%,0.80-3.00,27.3%,1.40-2.00,68.2%,11,23.70
42,140,富尔坎-科尔克马兹,76人,9.50,3.40-7.50,44.9%,1.90-4.70,39.3%,0.90-1.10,78.6%,13,22.70
43,140,小拉里-南斯,骑士,9.50,3.50-6.80,52%,0.90-2.60,34.5%,1.50-1.90,76.2%,11,24.30
44,144,乔治-希尔,雄鹿,9.40,3.30-6.50,50.6%,1.50-3.00,48.7%,1.30-1.70,77.3%,13,23.30
45,144,博比-波蒂斯,尼克斯,9.40,3.80-9.60,39.3%,1.00-2.60,37.8%,0.90-1.10,75%,14,23.10
46,146,凯文-赫尔特,老鹰,9.30,3.20-7.50,42.7%,1.70-4.40,38.6%,1.20-1.50,80%,10,22.50
47,147,托尼-斯内尔,活塞,9.20,3.30-7.20,46.2%,2.30-5.10,45.5%,0.30-0.30,100%,13,27.10
48,147,杰拉米-格兰特,掘金,9.20,3.50-7.80,44.7%,1.00-3.30,30%,1.20-1.80,63.6%,12,22.00
