20191030,宝山,罗店,祁南一村,28649元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018868/,1994年建成 ,板楼,0.5元/平米/月,上海宝房集团月浦物业管理有限,祁红开发有限公司,24,375户
20191030,宝山,罗店,祁北东路85弄,27536元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019011/,2008年建成 ,板楼,0.5元/平米/月,自主,上海金罗店开发有限公司,91,1197户
20191030,宝山,罗店,罗升路257弄,26775元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956187/,1994年建成 ,板楼,0.3元/平米/月,暂无信息,上海金罗店开发有限公司,6,77户
20191030,宝山,罗店,罗升路222弄,38234元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003312/,1994年建成 ,板楼,暂无信息,暂无信息,暂无信息,2,32户
20191030,宝山,罗店,宫园巧筑,37446元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5013622688886109/,暂无信息 ,板楼,4.9元/平米/月,狮城怡安（上海）物业管理有限,永耀（上海）房地产开发有限公司,81,361户
20191030,宝山,罗店,美罗家园金丰苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057599/,2014年建成 ,塔楼/板楼,暂无信息,暂无信息,暂无信息,54,4619户
20191030,宝山,罗店,大华兰湖天境,26077元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018560/,2011年建成 ,板楼,暂无信息,上海大华物业管理有限,大华美兰房地产开发有限公司,166,190户
20191030,宝山,罗店,美罗家园宝欣苑六村,28116元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5014572314462872/,2014年建成 ,塔楼/板楼,0.85元/平米/月,暂无信息,暂无信息,12,1008户
20191030,宝山,罗店,美罗家园罗秀苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370318/,2011年建成 ,板楼,暂无信息,暂无信息, 重庆桥达茂宸房地产开发有限公司,16,1008户
20191030,宝山,罗店,美罗家园美平苑,29654元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102210220/,2014年建成 ,板楼,1.45元/平米/月,美平苑,暂无信息,19,525户
20191030,宝山,罗店,富辰花苑,30033元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001802/,2003年建成 ,板楼,0.45元/平米/月,罗南,上海金罗店开发有限公司,40,460户
20191030,宝山,罗店,富南苑,32966元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019651/,2005年建成 ,板楼,0.3元/平米/月,罗南,上海罗南房地产有限公司,42,482户
20191030,宝山,罗店,美兰湖别墅,34766元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013074/,2007年建成 ,板楼,2.8元/平米/月,上海颐景园物业管理有限,上海新秋房地产开发有限责任公司,57,57户
